FID,Field1,CFCA_EMT_I,sum_ACRES_,Site_Name,Original_S,Stress_Sta,Physiograp,Wetland_Ty,Hydrologic,Edge_Refer,Conversion,Edge_Ref_1,Longitude,Latitude,Urban_Dens
33,34,SW-N8,31.483512447999999,Saddle Blanket Scrub #2,NA,Not Stressed,Ridge,1B,No,120.099999999999990,-0.991000000000000,119.110000000000000,-81.578800000000001,27.670600000000000,Low
34,35,SW-N9,8.583173885000001,"LWRWEA, Mountain Lake Cutoff Tract #1",NA,Stressed,Ridge,1B,No,0.000000000000000,0.000000000000000,129.330000000000010,-81.593900000000005,27.919799999999999,High
35,36,SW-QA,133.473235509999990,Big Gum Lake,Stressed,Not Stressed,Ridge,1F,Yes,95.950000000000003,-0.780000000000000,95.170000000000002,-81.492193000000000,27.928229000000002,Low
36,37,SW-QD,98.332504878999998,Gator Lake,Not Stressed,Stressed,Ridge,1F,No,131.800000000000010,-0.580000000000000,131.220000000000000,-81.686616000000001,27.841225000000001,Low
37,38,SW-QH,312.060408918000010,Lake Leonore,Not Stressed,Not Stressed,Ridge,1F,No,86.230000000000004,-1.060000000000000,85.170000000000002,-81.512254999999996,27.793752999999999,Low
38,39,SW-QJ,150.894122651000000,Lake Streety,Not Stressed,Not Stressed,Ridge,1F,No,105.950000000000000,-0.890000000000000,105.060000000000000,-81.569989000000007,27.678405999999999,Low
39,40,SW-QK,329.697859822000000,Lake Van,Not Stressed,Not Stressed,Ridge,1F,No,134.319999999999990,-1.010000000000000,133.310000000000000,-81.768938000000006,28.107150000000001,Low
40,41,SW-QL,2.891149286000000,Lake Walker,Stressed,Stressed,Ridge,1F,No,150.280000000000000,-1.110000000000000,149.169999999999990,-81.717884999999995,27.853656000000001,Moderate
41,42,SW-QM,9.567000170000000,Polecat Lake,Stressed,Not Stressed,Ridge,1F,No,144.370000000000000,-0.850000000000000,143.520000000000010,-81.699882000000002,27.843913000000001,Low
42,43,SW-QN,169.501306430999990,Surveyors Lake,Not Stressed,Not Stressed,Ridge,1F,No,133.360000000000010,-0.930000000000000,132.440000000000000,-81.691552000000001,27.833970000000001,Low
43,44,SW-QO,28.183615280000001,Parks Lake,Not Stressed,Not Stressed,Ridge,1F,No,102.810000000000000,-0.950000000000000,101.860000000000000,-81.468410000000006,27.915700000000001,Low
44,45,SW-QQ,1800.099004299999900,Crooked Lake,Stressed,Not Stressed,Ridge,1F,Yes,121.290000000000010,-1.030000000000000,120.260000000000010,-81.553030000000007,27.827970000000001,Low
